                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                0.96673,                 2.5655,                 1.2299,                0.74727,                0.58333,                0.74415,                0.53464,                 1.5238,                 1.7837,                  1.359,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.3797,                 2.4207,                 1.7914,                0.76665,                0.58333,                0.74312,                0.52637,                 1.5119,                 1.8137,                  1.354,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.81763,                 1.6948,                 1.1197,                 0.7899,                0.41667,                0.74164,                0.53949,                 1.5066,                 1.8301,                 1.3477,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0839,                  2.126,                 1.5173,                0.92728,                0.37327,                0.74167,                 0.5346,                 1.5189,                 1.8532,                 1.3558,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.82413,                 1.6473,                 1.1579,                0.92688,                0.37337,                0.65989,                0.49842,                 1.5203,                 1.8838,                 1.3591,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1216,                 1.6032,                 1.3436,                0.92688,                0.37337,                0.65989,                0.49842,                 1.5203,                 1.8838,                 1.3591,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.96988,                 1.6818,                 1.1624,                0.92616,                0.37336,                0.63236,                0.48466,                 1.5606,                 1.9772,                 1.3708,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.0158,                 1.6006,                  1.322,                0.92616,                0.37336,                0.63236,                0.48466,                 1.5606,                 1.9772,                 1.3708,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.2448,                 2.7438,                  1.637,                0.92039,                0.37326,                0.60379,                0.46529,                 1.5925,                 2.0717,                 1.4077,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.2772,                 2.4681,                 1.6791,                0.92039,                0.37326,                0.60379,                0.46529,                 1.5925,                 2.0717,                 1.4077,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.93977,                 1.8921,                 1.4094,                0.91674,                0.37314,                0.60472,                0.46334,                 1.5956,                 2.1236,                 1.4103,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                  1.046,                 2.1545,                 1.5259,                0.91674,                0.37314,                0.60472,                0.46334,                 1.5956,                 2.1236,                 1.4103,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.84584,                 1.6258,                 1.2534,                0.91942,                0.37317,                0.58448,                0.44125,                 1.6226,                 2.2122,                 1.4433,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.95675,                 1.9022,                  1.379,                0.91942,                0.37317,                0.58448,                0.44125,                 1.6226,                 2.2122,                 1.4433,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.87179,                 1.8684,                 1.3751,                 0.9149,                0.37297,                 0.5763,                0.44035,                 1.6439,                 2.2565,                 1.4694,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.81624,                 1.1736,                 1.1749,                 0.9149,                0.37297,                 0.5763,                0.44035,                 1.6439,                 2.2565,                 1.4694,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.91588,                 1.5122,                 1.2537,                0.91587,                0.37302,                0.57729,                0.44039,                 1.6391,                  2.264,                 1.4681,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.2937,                 2.5038,                 1.5723,                0.91587,                0.37302,                0.57729,                0.44039,                 1.6391,                  2.264,                 1.4681,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.92104,                 1.2383,                 1.2286,                0.91663,                0.37314,                0.57737,                0.43942,                 1.6436,                 2.2656,                 1.4749,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.64105,                 1.3077,                 1.1381,                0.91663,                0.37314,                0.57737,                0.43942,                 1.6436,                 2.2656,                 1.4749,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.88781,                 1.1831,                 1.4812,                0.91923,                0.37325,                0.46755,                 0.3401,                 1.6705,                 2.2902,                 1.4921,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 0.9465,                 1.0934,                 1.2686,                0.91923,                0.37325,                0.46755,                 0.3401,                 1.6705,                 2.2902,                 1.4921,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.94426,                 1.9096,                 1.3047,                0.91561,                0.37303,                0.45402,                0.31959,                 1.6867,                 2.2957,                 1.5058,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.80194,                 1.4185,                 1.2054,                0.91561,                0.37303,                0.45402,                0.31959,                 1.6867,                 2.2957,                 1.5058,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72534,                  1.247,                 1.1386,                0.91887,                0.37297,                0.45406,                 0.3365,                 1.6927,                 2.3187,                 1.5187,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                  0.447,                0.92323,                0.95135,                0.91887,                0.37297,                0.45406,                 0.3365,                 1.6927,                 2.3187,                 1.5187,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.79231,                0.87711,                 1.0844,                0.91866,                0.37303,                0.45252,                0.33626,                 1.6874,                   2.35,                 1.5081,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.65262,                0.75555,                 1.0608,                0.91866,                0.37303,                0.45252,                0.33626,                 1.6874,                   2.35,                 1.5081,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67064,                0.89778,                 1.0146,                0.92241,                0.37292,                 0.4522,                 0.3364,                 1.7004,                 2.3767,                  1.513,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.54874,                  1.547,                 1.0409,                0.92241,                0.37292,                 0.4522,                 0.3364,                 1.7004,                 2.3767,                  1.513,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0409,                 1.3184,                 1.3187,                0.94065,                0.38889,                0.45866,                 0.3398,                 1.7062,                 2.3761,                 1.5198,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.89691,                0.89894,                 1.3234,                0.94065,                0.38889,                0.45866,                 0.3398,                 1.7062,                 2.3761,                 1.5198,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.60757,                 0.7646,                  1.001,                0.94164,                0.38886,                0.45102,                0.33253,                 1.7267,                 2.4134,                 1.5272,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.71675,                 0.9682,                 1.1539,                0.94164,                0.38886,                0.45102,                0.33253,                 1.7267,                 2.4134,                 1.5272,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.82965,                 1.6841,                 1.2524,                0.94194,                0.39117,                0.44892,                0.32382,                 1.7361,                 2.4347,                 1.5165,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.92679,                 1.4628,                  1.263,                0.94194,                0.39117,                0.44892,                0.32382,                 1.7361,                 2.4347,                 1.5165,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.84214,                 0.9321,                 1.3013,                0.94145,                  0.392,                0.45078,                 0.3248,                 1.7674,                 2.4179,                 1.5489,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                  0.664,                 1.0804,                 1.2049,                0.94145,                  0.392,                0.45078,                 0.3248,                 1.7674,                 2.4179,                 1.5489,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.78069,                0.85089,                 1.1405,                0.94252,                0.39186,                0.44917,                0.32389,                 1.7556,                 2.4057,                 1.5286,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.80577,                0.86847,                 1.2224,                0.94252,                0.39186,                0.44917,                0.32389,                 1.7556,                 2.4057,                 1.5286,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.64998,                0.71577,                  1.197,                0.94252,                0.39186,                0.44917,                0.32389,                 1.7556,                 2.4057,                 1.5286,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.77203,                0.84504,                 1.2338,                0.94423,                0.39254,                0.42215,                 0.2994,                 1.7607,                 2.4089,                 1.5283,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.69111,                0.89478,                 1.0439,                0.94423,                0.39254,                0.42215,                 0.2994,                 1.7607,                 2.4089,                 1.5283,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1737,                 1.6442,                 1.5741,                0.94423,                0.39254,                0.42215,                 0.2994,                 1.7607,                 2.4089,                 1.5283,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0373,                 1.4359,                 1.3617,                0.94641,                0.39005,                0.42217,                0.29391,                 1.7717,                 2.4477,                 1.5426,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.82781,                 1.3766,                 1.2704,                0.94641,                0.39005,                0.42217,                0.29391,                 1.7717,                 2.4477,                 1.5426,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.75572,                0.73342,                 1.1659,                0.94641,                0.39005,                0.42217,                0.29391,                 1.7717,                 2.4477,                 1.5426,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.96012,                0.80312,                 1.4976,                0.94578,                0.39024,                 0.4244,                0.27477,                 1.7819,                 2.4321,                 1.5395,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 0.6035,                0.69378,                 1.0652,                0.94578,                0.39024,                 0.4244,                0.27477,                 1.7819,                 2.4321,                 1.5395,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70548,                0.87316,                 1.0551,                0.94578,                0.39024,                 0.4244,                0.27477,                 1.7819,                 2.4321,                 1.5395,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 0.7496,                0.81351,                 1.1469,                0.94612,                0.39077,                0.42443,                0.27389,                  1.823,                 2.4754,                 1.5908,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 0.6613,                  0.692,                 1.0829,                0.94612,                0.39077,                0.42443,                0.27389,                  1.823,                 2.4754,                 1.5908,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                  0.587,                 0.8345,                 1.1825,                0.94612,                0.39077,                0.42443,                0.27389,                  1.823,                 2.4754,                 1.5908,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.63777,                0.90343,                 1.0861,                0.94547,                0.39052,                0.42168,                0.30783,                 1.8349,                 2.5096,                 1.6012,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.69322,                 1.0366,                 1.0721,                0.94547,                0.39052,                0.42168,                0.30783,                 1.8349,                 2.5096,                 1.6012,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.93449,                 1.7281,                 1.3393,                0.94547,                0.39052,                0.42168,                0.30783,                 1.8349,                 2.5096,                 1.6012,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.62105,                0.99389,                 1.1302,                0.94526,                0.39167,                0.42131,                0.29256,                 1.8523,                 2.5138,                 1.6043,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.88135,                0.87097,                 1.3616,                0.94526,                0.39167,                0.42131,                0.29256,                 1.8523,                 2.5138,                 1.6043,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                  1.001,                 1.2968,                 1.3778,                0.94526,                0.39167,                0.42131,                0.29256,                 1.8523,                 2.5138,                 1.6043,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.58402,                0.60461,                 1.0455,                0.94702,                0.39002,                0.42132,                0.29254,                 1.8735,                 2.5624,                 1.6313,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.66899,                0.87914,                 1.0538,                0.94702,                0.39002,                0.42132,                0.29254,                 1.8735,                 2.5624,                 1.6313,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.65985,                  0.693,                 1.1606,                0.94702,                0.39002,                0.42132,                0.29254,                 1.8735,                 2.5624,                 1.6313,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 0.6894,                0.56792,                  1.124,                0.94633,                0.39018,                 0.4214,                0.29253,                 1.8472,                 2.5288,                 1.5849,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.58015,                0.84168,                  1.101,                0.94633,                0.39018,                 0.4214,                0.29253,                 1.8472,                 2.5288,                 1.5849,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.61641,                0.58875,                 1.0748,                0.94633,                0.39018,                 0.4214,                0.29253,                 1.8472,                 2.5288,                 1.5849,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.79017,                 1.0911,                 1.1387,                0.94554,                0.39113,                0.42141,                0.29326,                 1.8169,                 2.4697,                 1.5297,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58278,                0.72265,                  1.099,                0.94554,                0.39113,                0.42141,                0.29326,                 1.8169,                 2.4697,                 1.5297,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.64453,                0.78215,                 1.1048,                0.94554,                0.39113,                0.42141,                0.29326,                 1.8169,                 2.4697,                 1.5297,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.50928,                0.46431,                0.98652,                0.93988,                0.38918,                0.42297,                0.29455,                 1.8247,                 2.4669,                 1.5399,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.75115,                0.69553,                 1.1548,                0.93988,                0.38918,                0.42297,                0.29455,                 1.8247,                 2.4669,                 1.5399,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.80099,                0.77876,                 1.1926,                0.93988,                0.38918,                0.42297,                0.29455,                 1.8247,                 2.4669,                 1.5399,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.59383,                0.60454,                 1.0302,                0.93778,                0.38808,                0.42137,                0.29354,                 1.8323,                  2.498,                  1.545,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.62421,                0.78835,                 1.1485,                0.93778,                0.38808,                0.42137,                0.29354,                 1.8323,                  2.498,                  1.545,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.85971,                0.84099,                 1.1393,                0.93778,                0.38808,                0.42137,                0.29354,                 1.8323,                  2.498,                  1.545,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.65915,                0.78652,                  1.018,                0.93778,                0.38808,                0.42137,                0.29354,                 1.8323,                  2.498,                  1.545,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.79146,                0.84428,                 1.3864,                0.93863,                0.38723,                0.42039,                0.29331,                 1.8086,                 2.5205,                 1.5157,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0756,                 1.0388,                  1.511,                0.93863,                0.38723,                0.42039,                0.29331,                 1.8086,                 2.5205,                 1.5157,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.58498,                 0.6493,                0.97882,                0.93863,                0.38723,                0.42039,                0.29331,                 1.8086,                 2.5205,                 1.5157,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.52489,                0.51289,                0.92964,                0.93863,                0.38723,                0.42039,                0.29331,                 1.8086,                 2.5205,                 1.5157,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.67469,                0.71869,                0.95588,                0.94449,                0.38774,                0.42055,                0.29213,                 1.7991,                 2.5761,                 1.5015,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.40966,                0.47657,                0.95559,                0.94449,                0.38774,                0.42055,                0.29213,                 1.7991,                 2.5761,                 1.5015,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.54484,                0.53703,                0.88936,                0.94449,                0.38774,                0.42055,                0.29213,                 1.7991,                 2.5761,                 1.5015,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.43522,                0.49816,                 0.9321,                0.94449,                0.38774,                0.42055,                0.29213,                 1.7991,                 2.5761,                 1.5015,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.45235,                0.48392,                0.97082,                0.94156,                0.38658,                0.42201,                0.29283,                 1.8308,                 2.6266,                 1.5473,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.67337,                0.69578,                 1.0241,                0.94156,                0.38658,                0.42201,                0.29283,                 1.8308,                 2.6266,                 1.5473,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.48242,                 0.5369,                0.91021,                0.94156,                0.38658,                0.42201,                0.29283,                 1.8308,                 2.6266,                 1.5473,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.56219,                0.61791,                0.95614,                0.94156,                0.38658,                0.42201,                0.29283,                 1.8308,                 2.6266,                 1.5473,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.46608,                0.49404,                0.97187,                0.94821,                0.38136,                0.41893,                0.28995,                 1.8053,                 2.6699,                 1.5084,             2.3444e-06,             2.3444e-06,             2.3444e-06
